Id,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status,Mes,Customer_Id,Customer_Name,City,State,Region,Delivery_Id,Services,P_Sevice,D_Forecast,D_Date,Status
8,2025-02-27 06:54:32,0.0106,9208.0,9143.39,PIX,Confirmado,Fevereiro,C00008,Brenda da Rocha,Ponta Grossa,PR,Sul,D00008,Scheduled,32.99,2025-05-03 10:22:08,2025-05-05 10:22:08,A Caminho
12,2025-03-25 09:52:22,0.0442,1539.8,1504.73,Credito,Confirmado,Março,C00012,Gabriela Nogueira,Tarauacá,AC,Norte,D00012,Scheduled,32.99,2025-04-25 00:24:52,2025-04-29 00:24:52,Atrasado
17,2025-02-28 06:40:58,0.0853,3253.14,3008.64,Boleto,Confirmado,Fevereiro,C00017,Emanuel Duarte,Fortaleza,CE,Nordeste,D00017,Scheduled,32.99,2025-05-05 01:49:22,2025-05-09 01:49:22,Trânsito
25,2025-03-25 13:17:21,0.0337,103.6,133.1,PIX,Confirmado,Março,C00025,Pedro Henrique Vieira,Teresina,PI,Nordeste,D00025,Scheduled,32.99,2025-04-17 15:51:23,2025-04-19 15:51:23,Atrasado
28,2025-04-22 23:40:44,0.0154,3216.0,3209.37,Boleto,Confirmado,Abril,C00028,Ana Luiza Monteiro,Parnaíba,PI,Nordeste,D00028,Same-Day,42.9,2025-04-26 18:17:08,2025-04-30 18:17:08,Atrasado
33,2025-04-06 06:58:45,0.0339,2309.7,2254.3,Credito,Confirmado,Abril,C00033,Davi Teixeira,Contagem,MG,Sudeste,D00033,Standard,22.9,2025-05-12 17:09:59,2025-05-16 17:09:59,Trânsito
36,2025-03-18 12:37:25,0.0254,215.6,243.11,PIX,Confirmado,Março,C00036,João Lucas da Luz,Florianópolis,SC,Sul,D00036,Scheduled,32.99,2025-05-09 16:05:35,2025-05-09 16:05:35,Trânsito
38,2025-04-19 14:47:47,0.1197,499.64,482.73,Debito,Confirmado,Abril,C00038,Srta. Julia Caldeira,Blumenau,SC,Sul,D00038,Same-Day,42.9,2025-04-17 17:16:43,2025-04-20 17:16:43,Atrasado
39,2025-03-22 18:59:08,0.0743,5937.3,5519.06,Boleto,Confirmado,Março,C00039,Maria Vitória da Conceição,Boa Vista,RR,Norte,D00039,Standard,22.9,2025-04-29 04:43:18,2025-05-01 04:43:18,A Caminho
42,2025-03-27 23:28:39,0.0557,53.9,93.8,Credito,Confirmado,Março,C00042,Dr. Heitor Mendes,Maringá,PR,Sul,D00042,Same-Day,42.9,2025-05-06 22:51:51,2025-05-07 22:51:51,Entregue
46,2025-03-22 02:32:04,0.0748,8226.39,7633.96,PIX,Confirmado,Março,C00046,Henrique Nunes,São Paulo,SP,Sudeste,D00046,Standard,22.9,2025-04-14 12:05:50,2025-04-19 12:05:50,Atrasado
47,2025-03-06 02:46:53,0.0437,13812.0,13231.32,Boleto,Confirmado,Março,C00047,Melissa Melo,Itacoatiara,AM,Norte,D00047,Standard,22.9,2025-04-29 02:40:16,2025-04-29 02:40:16,A Caminho
48,2025-05-05 18:29:47,0.0774,1798.0,1691.82,Credito,Confirmado,Maio,C00048,Helena Souza,Feira de Santana,BA,Nordeste,D00048,Scheduled,32.99,2025-05-08 05:04:17,2025-05-11 05:04:17,Entregue
50,2025-05-13 18:47:18,0.1166,53.9,80.61,Credito,Confirmado,Maio,C00050,Emilly Pires,Tocantinópolis,TO,Norte,D00050,Scheduled,32.99,2025-04-18 04:50:09,2025-04-23 04:50:09,Entregue
53,2025-04-26 01:20:49,0.0174,3598.02,3568.4,PIX,Confirmado,Abril,C00053,Thales Pereira,Cascavel,PR,Sul,D00053,Scheduled,32.99,2025-04-21 04:36:59,2025-04-24 04:36:59,Entregue
56,2025-02-25 06:04:11,0.0127,2158.0,2163.58,Credito,Confirmado,Fevereiro,C00056,Dra. Kamilly Cardoso,Londrina,PR,Sul,D00056,Scheduled,32.99,2025-05-10 17:13:03,2025-05-14 17:13:03,Atrasado
59,2025-03-08 06:13:02,0.1134,3596.0,3221.2,Credito,Confirmado,Março,C00059,Guilherme Cavalcanti,João Pessoa,PB,Nordeste,D00059,Scheduled,32.99,2025-04-20 19:00:53,2025-04-25 19:00:53,A Caminho
70,2025-04-26 05:51:52,0.0407,349.8,378.46,PIX,Confirmado,Abril,C00070,Bianca Freitas,Tarauacá,AC,Norte,D00070,Same-Day,42.9,2025-04-18 10:00:44,2025-04-23 10:00:44,Trânsito
82,2025-03-30 03:05:25,0.0222,1799.01,1792.06,Debito,Confirmado,Março,C00082,Julia Ribeiro,Santa Maria,RS,Sul,D00082,Scheduled,32.99,2025-05-04 04:10:01,2025-05-04 04:10:01,Entregue
83,2025-04-27 16:58:19,0.0861,519.44,497.62,Credito,Confirmado,Abril,C00083,Stephany da Rocha,Londrina,PR,Sul,D00083,Standard,22.9,2025-04-30 15:26:16,2025-05-04 15:26:16,Entregue
